Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,2643,2651.3,2587.4,2794.87,2638.9,2265.9,2087.9,1795.7,1571.7,1512.9,1442.4,1184.1,1062.5,906.2,863.9
Tianjin,2114,2144.4,2050.8,1950.676318,1881.4,1755,1567.6,1362.6,1153.7,1024.2,864.9,698.9,624.6,579.7,583.3
Hebei,1614.4,1544.2,1424.4,1488.107224,1542,1426,1225.9,1190.2,1137.2,975.9,849.6,787.3,630.9,587.6,577.4
Shanxi,1603,1705.1,1616,1627.53,1529.5,1461.9,1205.9,1162,1137.7,1064.6,1016.7,933,747.4,725.8,657
InnerMongolia,2543.3,2474,2394.6,2777.247503,2730.2,2514.1,2203.6,1857.2,1616.6,1396.9,1168.9,1047.9,897.9,793.5,674.6
Liaoning,2321.3,2065.6,1987.2,2100.711083,2042.4,1854.6,1586.8,1338.8,1187.4,1017.7,846.9,740.8,651.7,637.4,645.6
Jilin,1819,1812.9,1800.6,1961.197826,2044.8,1769.5,1570.7,1419.1,1259.6,1127.1,907.6,826.2,739.5,666.5,627.5
Heilongjiang,1804.4,1773.5,1813.4,1803.453019,1806.9,1681.9,1608.4,1403.7,1217,1021.5,971.4,878,719.3,696.2,610.8
Shanghai,1834.8,1711.6,1700.4,2032.28,2111.2,2053.8,1794.1,1593.1,1520.6,1330.1,1026.9,940.5,796.7,750.8,612.8
Jiangsu,1809.5,1781.4,1753,2013,1916,1772.1,1465.5,1298,1166.9,990,886.8,804.2,611,587.9,534.5
Zhejiang,1903.9,2041.3,1997.7,2235.211712,2109.6,2139,1802.3,1614.7,1546.5,1406.2,1383.6,1264.1,941.8,830,744
Anhui,1491,1403.3,1333.7,1687.485058,1540.7,1371,1225.6,1080.1,1010.6,906.5,869.6,763.5,637.9,558.1,557.9
Fujian,1443.5,1489.8,1461,1685.067712,1634.2,1495,1281.3,1171.9,1105.3,940.7,784.7,708.8,598.4,576.2,527.5
Jiangxi,1472.2,1478.3,1394.7,1566.489591,1476.6,1272.9,1138.8,1053,969.6,915.1,725.7,647.8,513.6,480.9,447.8
Shandong,1977.7,1943,1801.3,2277.03,2197,2008.8,1745.2,1548.8,1394.1,1238.3,1091.2,925.9,829.2,790.6,751.8
Henan,1746.6,1797.6,1823.4,1916.99,1886,1706.9,1444.6,1270.7,1141.8,1053.1,919.3,806.4,650.3,602.6,570.5
Hubei,1557.4,1523.1,1463.9,1881.85,1783.4,1677.9,1415.7,1210.3,1099.2,1046.6,877,806.7,711,669.3,592.9
Hunan,1666.4,1638.1,1442.1,1520.35,1624.6,1499,1277.5,1146.3,1090.7,1017.6,868.2,790.7,689.5,621.3,577.7
Guangdong,1583.4,1453.7,1344.7,1614.86658,1520.6,1404.6,1230.7,1064.3,975.1,814.6,719.3,673.9,620.1,559.9,490.9
Guangxi,886.3,845.8,794.6,1015.88061,1146.5,1019.3,926.4,855.6,772.3,656.7,477.7,520,423.2,373.6,409
Hainan,859.6,828.6,829.9,932.6274749,865,780.1,636.1,581.7,491.8,452.9,375.4,309.5,300.2,279.6,266.5
Chongqing,1939.2,1931.7,1878.1,2333.807802,2228.8,2056.8,1697.6,1503.5,1294.3,1171.2,1039,849.5,779.7,735,618.6
Sichuan,1767.5,1703.8,1539.4,1727.919368,1651.1,1483.5,1259.5,1178.4,1042.5,949.7,754.9,640.9,557.9,536.5,506.6
Guizhou,1525.4,1346.7,1245.9,1401.850755,1399,1209.9,1102.4,1012.1,851.5,910.3,832.7,702.9,585.2,524.9,483.8
Yunnan,1195.5,1138.2,1066.6,1356.906278,1759.9,1587.2,1158.8,1102.1,1026.5,859.7,745.1,643.9,651.7,594.5,539.5
Tibet,1812.5,1611.6,1656.2,1528.14,1361.6,1261.3,1158.6,1086.4,1011.8,880.1,734.8,1051.8,1079.7,1129.5,1129.9
Shaanxi,1542.2,1500.5,1470.4,1915.328479,1789.1,1673.2,1428.2,1210,1047.6,910.3,768.5,673.1,609.3,559.1,508.3
Gansu,1776.9,1758.5,1654.2,1747.316518,1631.4,1470.3,1255.7,1169.7,1022.6,939.9,854,806.3,736.2,645.2,583
Qinghai,1963.5,1902.5,1754.2,1675.06,1512.2,1394.3,1185.6,1043.4,945.1,898.5,725,690.8,622,612.8,556
Ningxia,1726.7,1787,1729,1737.21,1875.7,1701.7,1417.5,1260.6,1178.9,994.5,874.4,776.5,636.8,585.2,578.2
Xinjiang,1966.1,2013.1,1912.4,2036.94,2031.1,1715.9,1513.4,1357.1,1245,1183.7,953,826,766.7,783.5,781
