Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,38255.52,36642,33717.45,31632.23,24045.9,21984.4,19934.5,17893.3,16460.3,15330.4,14825.4,13244.2,12200.4,11123.8,10284.6
Tianjin,28344.58,26229.52,24289.64,22306.18,20024.2,18424.1,16561.8,14801.4,13422.5,12028.9,10548.1,9653.3,8802.4,7867.5,7192
Hebei,19105.89,17586.62,16203.82,14970.03,12531.1,11609.3,10318.3,9678.8,9086.7,8235,7343.5,6699.7,5819.2,5439.8,5069.3
Shanxi,16992.82,15818.61,14636.88,13762.7,12211.5,11354.3,9792.7,9355.1,8806.6,8101.8,7170.9,6342.6,5654.2,5105.4,4711
Inner Mongolia,22744.45,21876.47,20885.23,19243.98,17717.1,15878.1,13994.6,12369.9,10828.6,9281.5,7666.6,6928.6,6219.3,5419.1,4859.9
Liaoning,24995.89,21556.72,20519.57,19318.42,16593.6,14789.6,13280,12324.6,11231.5,9429.7,7987.5,7369.3,6543.3,6077.9,5342.6
Jilin,19166.38,17972.62,17156.14,15940.69,14613.5,13010.6,11679,10914.4,9729.1,8560.3,7352.6,6794.7,6069,5492.1,4973.9
Heilongjiang,18145.16,17152.07,16466.63,15704.09,12983.6,12054.2,10683.9,9629.6,8623,7519.3,6655.4,6178,5567.5,5015.2,4462.1
Shanghai,39856.76,36946.12,35182.44,32447.19,26253.5,25102.1,23200.4,20992.4,19397.9,17255.4,14761.8,13773.4,12631,11040.3,10464
Jiangsu,26432.93,24966.04,23476.28,22262.34,18825.3,16781.7,14357.5,13153,11977.6,10715.2,9628.6,8621.8,7332.3,6708.6,6042.6
Zhejiang,30067.66,28661.27,27241.74,25253.51,21545.2,20437.5,17858.2,16683.5,15158.3,14091.2,13348.5,12253.7,10636.1,9712.9,8713.1
Anhui,19606.25,17233.53,16107.07,14593.65,15011.7,13181.5,11512.6,10234,9524,8531.9,7294.7,6367.7,5711.3,5064.3,4736.5
Fujian,25005.52,23520.19,22204.06,20564.7,18593.2,16661.1,14750,13450.6,12501.1,11055.1,9807.7,8794.4,8161.2,7356.3,6631.7
Jiangxi,17695.65,16731.81,15141.78,13842.95,12775.7,11747.2,10618.7,9740,8717.4,7810.7,6645.5,6109.4,5337.8,4914.6,4549.3
Shandong,21495.29,19853.77,18322.6,16646.47,15778.2,14560.7,13118.2,12012.7,11006.6,9666.6,8468.4,7457.3,6673.8,6069.4,5596.3
Henan,18087.79,17154.3,16184.46,15248.82,13733,12336.5,10838.5,9567,8837.5,7826.7,6685.2,6038,5294.2,4941.6,4504.7
Hubei,20040.03,18192.28,16681.41,15334.47,14496,13163.8,11451,10294.1,9477.5,8701.2,7397.3,6736.6,6398.5,5963.3,5608.9
Hunan,21419.99,19501.37,18334.66,16867.25,14609,13402.9,11825.3,10828.2,9945.5,8990.7,8169.3,7505,6884.6,6082.6,5574.7
Guangdong,28613.33,25673.08,23611.74,21621.46,22396.4,20251.8,18489.5,16857.5,15528,14336.9,12432.2,11809.9,10694.8,9636.3,8988.5
Guangxi,17268.45,16321.16,15045.4,14470.08,14244,12848.4,11490.1,10352.4,9627.4,8151.3,6792,7032.8,6445.7,5763.5,5413.4
Hainan,19015.47,18448.35,17513.78,15833.5,14456.6,12642.8,10926.7,10086.7,9408.5,8292.9,7126.8,5928.8,5802.4,5502.4,5459.6
Chongqing,21030.94,19742.29,18279.49,17123.8,16573.1,14974.5,13335,12144.1,11146.8,9890.3,9398.7,8623.3,7973.1,7118.1,6360.2
Sichuan,20659.81,19276.85,17759.93,16098.17,15049.5,13696.3,12105.1,10860.2,9679.1,8692,7524.8,6891.3,6371.1,5759.2,5413.1
Guizhou,19201.68,16914.2,15254.64,13768.22,12585.7,11352.9,10058.3,9048.3,8349.2,7758.7,6848.4,6159.3,5494.5,4949,4598.3
Yunnan,18622.4,17674.99,16268.33,14862.33,13883.9,12248,11074.1,10201.8,9076.6,7921.8,7379.8,6996.9,6837,6023.6,5827.9
Tibet,19440.48,17022.01,15669.36,13678.63,11184.3,10398.9,9685.5,9034.3,8323.5,7532.1,6192.6,8617.1,8338.2,8045.3,6952.4
Shaanxi,19368.9,18463.87,17545.96,16398.59,15332.8,13782.8,11821.9,10705.7,9772.1,8427.1,7553.3,6656.5,6233.1,5666.5,5378
Gansu,19539.22,17450.86,15942.25,14411.35,12847.1,11188.6,9895.4,8890.8,8308.6,7875.8,6974.2,6529.2,5937.3,5298.9,5064.2
Qinghai,20853.17,19200.65,17492.89,16223.36,12346.3,10955.5,9613.8,8786.5,8192.6,7512.4,6530.1,6245.3,5759,5400.2,5042.5
Ningxia,20364.23,18983.88,17216.23,15806.87,14067.2,12896,11334.4,10280,9558.3,7817.3,7205.6,6404.3,5821.4,5330.3,5104.9
Xinjiang,21228.5,19414.74,17684.52,16858.08,13891.7,11839.4,10197.1,9327.6,8669.4,7874.3,6730,6207.5,5773.6,5540.6,5636.4
