Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,4054.7,4027.6,3610.9,3984.86,3696,3306.8,2901.9,2655,2383.5,2384,2514.8,2186.6,2115.9,1964.2,1809.1
Tianjin,2643.6,2282.6,2013,2353.430628,2254.2,2116,1899.5,1740.9,1609,1639.8,1452.2,1283.7,1232.4,1083.9,1150.6
Hebei,1991.3,1870.8,1591.9,1550.627981,1203.8,1204,1001,982.2,946.4,895.1,827.7,795.4,682.9,660.6,603.6
Shanxi,2439,2207.9,2026.5,2065.44,1506.2,1419.4,1229.7,1070.6,1041.9,1054.1,1007.9,932.5,901.4,799.4,781.8
InnerMongolia,2598.9,2504.7,2177.8,2111.000111,1971.8,1812.1,1641.2,1504.4,1383.5,1245.1,1052.7,968.8,858.4,770.5,678.8
Liaoning,3018.5,2418.7,2275.9,2258.460589,1843.9,1614.5,1495.9,1283.7,1145.5,1052.9,853.9,849.5,845.4,747.4,697.1
Jilin,2367.5,2161.8,1980.8,1935.037941,1642.7,1468.3,1244.6,1028.1,1071.8,997.8,890.2,800.2,795,742.2,655.8
Heilongjiang,2011.5,1846.7,1723.2,1396.381966,1216.6,1190.9,1001.5,956.9,906.2,938.2,843.9,802.5,762.5,644.5,590.3
Shanghai,4533.5,4046,3605,4122.07,3723.7,3746.4,3363.3,3139,2874.5,2653.7,2431.7,2272.8,2195.2,1833.8,1668.2
Jiangsu,3163.9,3058.4,2838.8,3290,3077.8,2695.5,2133.3,1968,1799.8,1699.3,1467.4,1287.9,1031.1,971.9,867.4
Zhejiang,3452.3,2962.8,2642.9,2848.747277,2996.6,2816.1,2586.1,2295.3,2195.6,2158.3,1946.2,1849.7,1681.1,1486.6,1406.9
Anhui,2233.3,1913.3,1650.9,1904.147016,1932.7,1631.3,1479.8,1225.4,1160.1,1170,869.2,666.4,623.5,536.2,479.6
Fujian,2461.5,2314,2170,2448.362378,2104.8,1879,1786,1505,1453.2,1426.3,1321.3,1107,1050.3,898.6,875.2
Jiangxi,1963.9,1874.4,1653.8,1671.24,1487.3,1429.3,1179.9,1066.9,946,973.4,894.6,805.4,785.7,664.3,661
Shandong,2399.3,2141.1,1769.8,1909.84,1655.9,1538.4,1401.8,1333,1277.4,1191.2,1202,1040,983.1,931.5,929.2
Henan,2078.8,1991.9,1721.9,1911.16,1525.3,1373.9,1137.2,1048.1,989,936.6,847.1,805.1,694.6,629.9,586.3
Hubei,2228.4,1972.2,1894.8,1922.83,1651.9,1489.7,1263.2,1208.5,1037.2,1120.3,997.7,904.8,938.6,843.7,863.2
Hunan,3406.1,2934.1,2537.5,2080.46,1737.6,1526.1,1418.9,1207.7,1110.1,1285.2,1182.2,1138.7,1091.3,993.9,883.6
Guangdong,3103.4,2671.5,2468.4,3222.403961,2954.1,2647.9,2376,2168.9,1936.4,1994.9,1813.9,1669.1,1577.7,1437.1,1386.2
Guangxi,2003,1845,1688.9,2083.992223,1626.1,1502.7,1243.7,1111.1,1081.5,1050,850.9,998.9,960.8,797.8,869.2
Hainan,1931.3,1617.8,1912.8,1923.47978,1319.5,1141.8,1004.6,962,930.9,837.8,791.2,652,686.8,630.1,744.1
Chongqing,2232.4,1951.3,1713.6,1722.658481,1470.6,1474.9,1408,1351.9,1267,1237.4,1449.5,1391.1,1200.5,1026,1065.1
Sichuan,2008.4,1863,1672.4,1877.545322,1587.4,1369.5,1224.7,1150.7,947,1031.8,976.3,909,874.4,823.7,830.3
Guizhou,2493.5,2312.7,2071.3,1950.281987,1396,1331.4,1254.6,1146.4,934.7,1036,938.4,811.7,793.4,714.3,675.4
Yunnan,2217,2079,1816.5,2045.292656,1434.3,1350.7,1014.4,798.7,733,705.5,754.7,775.6,725.1,735.9,855
Tibet,922.5,757.9,727.3,1551.34,550.5,514.4,478,465.8,419.6,441,359.3,678.3,617.4,596.9,444.7
Shaanxi,2474,2201.1,2147.5,2208.056208,2078.5,1857.6,1595.8,1430.2,1281.6,1230.7,1280.1,1081.9,1025.8,950.9,881.5
Gansu,2322.1,2044.9,1644.3,1547.649171,1388.2,1158.3,1136.7,1025.5,936.3,1058.7,1034.4,942.8,853.3,793.2,794.6
Qinghai,2352.9,2022.5,2056.4,1471.98,1097.2,967.9,908.1,889.3,880.9,953.9,793.7,803.1,746.9,713.3,683.4
Ningxia,2415.7,2389.8,1957.5,1868.42,1515.9,1441.2,1286.2,1075.9,1043.7,863.4,846.7,770,651.1,644.7,711
Xinjiang,2404.9,2105.4,1741,1597.99,1280.8,1122.2,1012.4,855.5,812.4,896.8,819.7,741.4,840.6,806.5,880.9
