Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,8070.4,8091.1,8007.4,8170.22,7535.3,6905.5,6392.9,5936.1,5561.5,4934.1,4560.5,4215.6,3925.5,3522.7,3472.1
Tianjin,8679.6,8447.7,8069.5,7943.055007,7343.6,6663.3,5940.4,5404.5,5005.1,4249.3,3680.2,3542.9,3278.2,2963.9,2607
Hebei,4991.6,4581.1,4240.8,4404.933543,4211.2,3927.3,3335.2,3250.8,3155.4,2789.9,2492.3,2315.8,2142.4,1912.4,1795.3
Shanxi,3862.8,3981,3804,3676.65,3855.6,3558,3052.6,3071.9,2974.8,2600.4,2252.5,2056.8,1917.8,1712.1,1531.3
Inner Mongolia,6445.8,6210.3,6003.2,6117.927456,5463.2,4962.4,4211.5,3772.6,3553.5,2824.9,2323.6,2177.6,2024.9,1705.6,1532.3
Liaoning,6901.6,6092.5,5816.9,5803.896021,5809.4,5255,4658,4680.9,4378.1,3560.2,3102.1,2861,2644,2395,2074.7
Jilin,4975.7,4640.6,4478.5,4658.127973,4635.3,4252.9,3767.9,3637.3,3307.1,2842.7,2457.2,2356,2180.1,1957.9,1809.5
Heilongjiang,5019.3,4749.7,4532.1,5069.886568,4687.2,4348.5,3784.7,3397.4,3128.1,2633.2,2215.7,2071.6,1972.2,1784,1584.6
Shanghai,10014.8,9690.7,9438.6,9822.88,9655.6,8906,7777,7344.8,7108.6,6125.5,5249,4940.1,4593.3,4102.7,4120.2
Jiangsu,7389.2,7003.8,6695.8,7074.107036,6658.4,6060.9,5243.1,4773.7,4544.6,3928.7,3462.7,3205.8,2931.7,2566.9,2441.9
Zhejiang,8467.3,8092,7705,8008.161948,7552,7066.2,6118.5,5604.7,5522.6,4892.6,4393.4,4140.3,3851.2,3558.4,3474.4
Anhui,6381.7,5802.1,5360.3,6370.226986,5814.9,5246.8,4369.6,4051.4,3905.1,3384.4,3091.3,2781.5,2509,2238.9,2045.3
Fujian,8299.6,7759.1,7368.7,7424.673617,7317.4,6534.9,5790.7,5336.4,5078.9,4296.2,3854.3,3595.2,3394.6,3104.8,2881.2
Jiangxi,5667.5,5407.8,4965.6,5221.101289,5071.6,4675.2,4195.4,3881.6,3633.1,3192.6,2636.9,2495.1,2296.5,1979.8,1843.7
Shandong,5929.4,5527.4,5298.1,5625.94,5201.3,4827.6,4205.9,3954.3,3699.4,3180.6,2711.7,2512.7,2310.7,2051.3,1927.6
Henan,5067.7,4818.7,4662.5,4913.87,4607.5,4212.8,3575.8,3272.8,3079.8,2707.4,2215.3,2067.5,1855.4,1662.3,1517
Hubei,6294.3,5828.6,5390.6,6259.22,5837.9,5363.7,4429.3,4160.5,3996.3,3456,2868.4,2625.4,2516.2,2279.6,2087.8
Hunan,6407.7,6075.5,5596,5583.99,5441.6,4943.9,4322.1,4174.6,3970.4,3243.9,2850.9,2689.4,2479.6,2179.4,1985.9
Guangdong,9421.6,8533.4,7850.2,8856.905852,8258.4,7471.9,6746.6,6225.2,5866.9,5056.7,4503.9,4265.2,3953.3,3583.7,3460.4
Guangxi,5937.2,5610.2,5293.7,5841.163203,5552.6,5074.5,4372.8,4129.6,4083,3398.1,2857.4,2906.7,2727.1,2306,2201.4
Hainan,7419.7,7051.8,6655.3,6979.21865,6556.1,5673.7,4896,4507.8,4226.9,3546.7,3097.7,2820,2722.8,2463,2435.9
Chongqing,6883.9,6627.6,6308.4,7245.11735,6870.2,5847.9,5012.6,4576.2,4418.3,3674.3,3415.9,3135.7,3015.3,2702.3,2419
Sichuan,7118.4,6783.1,6203.8,6471.844778,6073.9,5571.7,4779.6,4391.7,4255.5,3580.1,2838.2,2709.7,2560.4,2240.7,2156.2
Guizhou,6010.3,5282.7,4809.6,4915.02161,4992.9,4565.9,4013.7,3755.6,3597.9,3122.5,2649,2458.3,2260.5,1968.2,1788.6
Yunnan,5528.2,5346.4,4987.4,5741.009147,5468.2,4802.3,4593.5,4460.6,4272.3,3562.3,3102.5,2997.1,2895.6,2506.6,2423.4
Tibet,8727.8,7237.5,6166.6,5889.48,5517.7,5184.2,4847.6,4581.6,4262.8,3836.5,3107.9,3830.5,3799.2,3542.9,2837.3
Shaanxi,5422,5146.4,4800.2,6075.576056,5550.7,5040.5,4381.4,3988.6,3586.1,3063.7,2588.9,2401.5,2236.5,1960.3,1832.9
Gansu,5777.3,5345.9,4964.2,5162.872093,4602.3,4182.5,3702.2,3359.3,3183.8,2824.4,2408.4,2352.8,2204,1908.1,1792.6
Qinghai,5975.7,5502.6,5228.5,4777.1,4667.3,4260.3,3784.8,3548.9,3315.9,2803.5,2366.4,2267.4,2056.1,1986.5,1850.5
Ningxia,4889.2,4883.4,4795.3,4895.2,4768.9,4483.4,3768.1,3432.2,3352.8,2760.7,2445,2228.6,2156.3,1919.4,1774.3
Xinjiang,6179.4,5954.9,5529.7,5323.5,5238.9,4537.5,3694.8,3386.3,3235.8,2760.7,2387,2257.4,2083.1,1987.4,1912.8
