Region,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,12128,11252,10308.4,2125.99,1970.9,1923.7,1577.4,1290.2,1286.3,1246.2,1212.9,1039.8,1065.7,955.8,925.4
Tianjin,6187.3,5667.2,5251.4,2088.620995,1854.2,1763.4,1615.6,1505.7,1528.3,1417.5,1368.2,1291.6,1230.2,1095.6,932.3
Hebei,4483.2,4111.6,3735.8,1526.283109,1502.4,1372.3,1344.5,1142.8,1097.4,917.2,864.9,762.1,705.2,595.2,553.7
Shanxi,3633.8,3019.5,2898.8,1612.36,1438.9,1327.8,1245,1319.5,1250.9,991.8,830.4,727.9,614.2,561.5,535
Inner Mongolia,4006.1,3710.3,3619.3,1951.052986,1583.6,1418.6,1384.5,1246.2,1028.2,941.8,802.3,722.6,627,618.2,667.6
Liaoning,4632.8,4416.1,4428.2,1936.099363,1433.3,1385.6,1314.8,1293,1271,1047,909.4,792.8,661.8,630.9,515.8
Jilin,3612,3532.3,3330.8,1932.243133,1594.1,1468.3,1344.4,1394.9,1285.3,1062.5,985,845.5,700,669.3,570.7
Heilongjiang,3352.4,3416.4,3503.8,1543.289533,1336.9,1186,1128.1,1026.8,941.3,784.5,755.3,695.2,611.4,539.5,508.4
Shanghai,13216,12137,11621.7,2847.88,1790.5,2225.7,2166.2,1913.2,1646.2,1412.1,1435.7,1412.1,1326.7,1280.4,1188.6
Jiangsu,6140.6,5644.7,5101.5,1564.297652,1437.1,1187.7,1234.1,1148.9,1042.1,1020.1,997.5,794.9,760.7,716,692.2
Zhejiang,7385.4,7230.5,6901.9,2004.689729,1551.7,1518.1,1418,1485.9,1333.7,1168.1,1229.3,1059.4,971.3,953.1,738.5
Anhui,3931.2,3460,3542.4,1663.547471,1397,1501.4,1229.6,1219.8,988.1,850.2,694.2,590.3,534.3,487.4,483.5
Fujian,6530.5,5811.4,5434.7,2013.526577,1753.9,1661.8,1606.3,1394.9,1300.1,1261.2,1233.5,1071.9,869.3,878.9,742.1
Jiangxi,3915.9,3619.9,3377.1,1414.891963,1173.9,1114.5,1109.8,935.4,851.2,728.8,742.9,646.2,505.5,573.4,443.5
Shandong,4473.1,4058.4,4015.6,1780.07,1572.4,1510.8,1408.6,1280,1247,1027.6,838.2,751.7,601.5,551.8,459.7
Henan,3753.4,3391.1,3136,1315.28,1190.8,1087.1,1080.1,1004.4,963.6,795.4,737,652,578.6,566.3,499.4
Hubei,4176.7,3742.7,3575.1,1456.3,1371.2,1172.1,1187.5,999.5,914.3,857,752.6,683.9,641.6,655,612.1
Hunan,3918.7,3519.6,3567.6,1529.5,1301.6,1292.6,1182.3,1074.7,960.8,869.6,871.7,771.5,640.7,586.9,581.9
Guangdong,6410.4,5715.3,5291.5,2339.1215,2099.8,2005.2,1925.2,1814,1748.2,1444.9,1254.7,1181.4,1205.1,1196.4,986.4
Guangxi,3784.3,3629.3,3389.7,1662.497344,1377.3,1237.9,1166.9,1021.1,891.3,803,826.9,769.8,660.3,801.2,552
Hainan,3527.7,3679.8,3697.8,1578.649389,1521,1342.3,1103.8,1000.3,1106.4,819,743.6,585.4,564.9,604.7,564.7
Chongqing,3801.1,3679.6,3520.8,1376.149358,1177,1205.7,1276,1120.6,1096.8,968.5,954.6,882.4,903.2,741.6,594.5
Sichuan,3756.5,3335.5,3186.1,1321.535076,1284.1,1226.1,1126.7,973,819.3,690.3,728.4,705.4,600.7,580.5,521.8
Guizhou,3793.1,3468.4,2942.5,1496.485983,1013.5,1103,890.8,747.6,836.5,718.7,627.2,583.5,468.2,422.1,476.2
Yunnan,3814.4,3612.4,3469.6,1384.913365,973.8,827.8,835.5,943.7,739.2,673.1,585.4,543.1,592.9,445.5,437.6
Tibet,3614.5,3588.9,3397.6,963.99,845.2,781.1,726.6,689.8,634.9,628.4,612.7,517.5,483.2,468.5,546.2
Shaanxi,3681.5,3823.4,3620.4,1465.81091,1322.2,1193.8,1126.9,1018.2,1007.7,831.3,746.6,653.4,646.9,609.1,622.4
Gansu,3752.6,3539.9,3537.7,1596.002962,1287.9,1139.9,910.3,801.2,846.3,768.3,716.4,680.8,572.5,505.6,518.8
Qinghai,3809.4,3340.1,3446.5,1684.78,1232.4,1055.2,923.5,790.5,802.7,641.9,653,666.4,664.2,559.3,536.9
Ningxia,3770.5,3608.3,3027.6,1497.98,1193.4,1247.1,1181.7,1128.1,1069.2,910.7,891,711.2,660.2,560.5,482.8
Xinjiang,3543.9,3166.9,3262.8,1275.35,1166.6,888.2,898.4,856.8,781.9,737,698.7,571.7,567,499.9,515.6
