ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Year
1,0,Algeria,0,5.23026,35.8142,92615.67,1/1/1985,5/1/1985,News,26,3000,Heavy rain,1,1985
2,0,Brazil,0,-45.3489,-18.7111,678498.82,15/1/1985,2/2/1985,News,229,80000,Heavy rain,2,1985
3,0,Phillipines,0,122.974,10.0207,12846.03,20/1/1985,21/1/1985,News,43,444,Torrential rain,1,1985
4,0,Indonesia,0,124.606,1.01489,16542.12,4/2/1985,18/2/1985,News,21,300,Torrential rain,1,1985
5,0,Mozambique,0,32.3491,-25.8693,20082.21,9/2/1985,11/2/1985,News,19,0,Heavy rain,2,1985
6,0,Comoros islands,0,43.36,-11.6516,1035.61,16/2/1985,28/2/1985,News,2,35000,Tropical cyclone,1,1985
7,0,New Zealand,0,175.734,-37.2305,7871.37,17/2/1985,18/2/1985,News,4,200,Heavy rain,1,1985
8,0,Indonesia,0,108.14,-7.04008,77091.11,19/2/1985,23/2/1985,News,10,2000,Heavy rain,1,1985
9,0,USA,0,-85.1742,40.6691,210527.96,22/2/1985,1/3/1985,News,7,2250,Rain and snowmelt,2,1985
10,0,Bolivia,0,-63.2887,-21.2244,69706.89,25/2/1985,28/2/1985,News,2,1000,Heavy Rain,1,1985
11,0,USA,0,-89.5537,40.6814,26266.14,3/3/1985,8/3/1985,News,4,2400,Rain and snowmelt,2,1985
12,0,USA,0,-108.093,35.3824,26527.13,13/3/1985,14/3/1985,News,0,80,Rain and snowmelt,1,1985
13,0,USA,0,-96.7845,29.6044,141508,14/3/1985,15/3/1985,News,0,0,Heavy rain,1,1985
14,0,USA,0,-83.5377,42.0122,16883.54,30/3/1985,31/3/1985,News,0,300,Heavy rain,1,1985
15,0,Brazil,0,-48.0987,-4.13519,1970402.21,2/4/1985,17/4/1985,News,32,700000,Heavy rain,2,1985
16,0,USA,0,-96.8425,28.5802,17192.76,11/4/1985,12/4/1985,News,1,200,Heavy rain,1,1985
